respid,sp_age,sp_totinc,sp_retinc,sp_hlth,sp_atr_w,sp_atr_r
4922,61,44437.786531748025,5470.493575623875,1,0.16918557835856318,0.09362078187709041
4932,60,51082.83694408487,44446.496962195895,1,0.23941226376509178,0.11009426556451414
4936,60,39748.88321250153,37282.363184305505,1,0.19617707739417645,0.16400303789366266
4943,0,0.0,0.0,0,0.0,0.0
4945,0,0.0,0.0,0,0.0,0.0
4957,68,0.0,0.0,2,0.0006275035277445848,0.0006275035277445848
4968,61,32543.589276958166,32543.589276958166,1,0.2794101752136411,0.2794101752136411
4970,60,39041.82599205602,39041.82599205602,1,0.1493369568938757,0.1493369568938757
4984,0,0.0,0.0,0,0.0,0.0
4991,60,11190.238437762486,11190.238437762486,1,0.0001876490760676753,0.0001876490760676753
4995,0,0.0,0.0,0,0.0,0.0
4998,65,46849.47773203778,46849.47773203778,1,0.07074009823975216,0.07074009823975216
5000,61,17903.944986031864,18555.266219419784,1,0.013888670774444339,0.03028299742807486
5015,69,0.0,0.0,1,0.010516479994340846,0.010516479994340846
5041,64,2635.7984879325136,2635.7984879325136,1,0.0779766172522913,0.0779766172522913
5104,0,0.0,0.0,0,0.0,0.0
5105,0,0.0,0.0,0,0.0,0.0
5110,64,12616.616120002138,12616.616120002138,1,0.041562063461218164,0.041562063461218164
5130,67,8999.771960921362,8999.771960921362,1,8.445801719029629e-06,8.445801719029629e-06
5141,66,57917.39462619691,57917.39462619691,2,0.22869310137182927,0.22869310137182927
5155,0,0.0,0.0,0,0.0,0.0
5156,67,19121.24552852838,22093.459881132167,1,0.14609027424266108,0.07074689347825475
5164,60,20364.567143952554,20364.567143952554,1,0.09327162331150175,0.09327162331150175
5231,65,26799.7787019353,26799.7787019353,1,0.018436632858288487,0.018436632858288487
5236,64,40435.10194118024,50898.399591869646,1,0.12080827797785798,0.08738000493237927
5262,64,29308.68108756335,29308.68108756335,1,0.12522447713985896,0.12522447713985896
5267,66,18289.03676415863,18289.03676415863,1,0.015547090548927864,0.015547090548927864
5281,0,0.0,0.0,0,0.0,0.0
5291,0,0.0,0.0,0,0.0,0.0
5317,66,44376.383723001585,45428.79678269312,1,0.3143641969281054,0.24308648854788412
5321,0,0.0,0.0,0,0.0,0.0
5322,0,0.0,0.0,0,0.0,0.0
5344,0,0.0,0.0,0,0.0,0.0
5351,68,4068.3149787159937,4068.3149787159937,1,0.10019214554041164,0.10019214554041164
5353,63,119.11932496180103,119.11932496180103,1,0.05931084787939257,0.05931084787939257
5354,70,28187.567030591978,28187.567030591978,1,0.11119385132339682,0.11119385132339682
5356,70,0.0,0.0,1,0.06896644305783922,0.06896644305783922
5366,63,8666.373027153468,10038.79560472329,1,0.10903984521328992,0.05798753950641708
5372,61,25838.225852736592,18766.98346798455,1,0.11320930548274202,0.019097654139283368
5392,68,41855.859291636065,41855.859291636065,1,0.11492283018655582,0.11492283018655582
5404,70,37649.52018179976,39088.011435232154,1,0.16196266692921482,0.15446845806040096
5407,60,6642.33574124467,1233.8738570595438,1,0.16515292123256478,0.17712583447384178
